OTM70_ZoneID,Population_Scn1
332.0,735.75
333.0,4368.99
334.0,2428.23
335.0,1956.33
336.0,446.04
337.0,4374.429999999999
338.0,428.68
339.0,1382.0
340.0,1157.85
342.0,978.99
343.0,853.52
344.0,2539.39
345.0,3047.66
346.0,1977.9
347.0,782.68
349.0,1194.83
350.0,1947.02
351.0,3025.4
352.0,3139.67
353.0,3238.06
354.0,891.8
355.0,3930.21
356.0,1962.36
357.0,1732.92
358.0,1340.96
359.0,4707.42
360.0,907.18
361.0,1438.84
362.0,866.77
363.0,953.78
364.0,5582.4400000000005
365.0,1144.0800000000002
366.0,893.55
367.0,2771.02
368.0,1015.24
369.0,781.47
370.0,6207.839999999999
371.0,811.3199999999999
372.0,636.0
373.0,810.15
374.0,1907.51
375.0,815.4000000000001
376.0,924.35
377.0,1229.8
378.0,1195.16
379.0,695.24
380.0,1037.38
381.0,5410.759999999999
382.0,6735.85
383.0,1739.02
384.0,215.76
385.0,4092.42
386.0,5572.76
388.0,7473.45
389.0,302.01
391.0,1213.78
392.0,1041.79
394.0,591.52
395.0,1638.34
397.0,2486.42
398.0,519.59
399.0,321.26
400.0,1876.53
401.0,6816.960000000001
402.0,1720.7
403.0,883.74
404.0,991.0
405.0,6552.0
407.0,2124.24
408.0,1828.42
409.0,4458.7
410.0,470.0
411.0,688.83
412.0,996.58
413.0,954.57
414.0,841.13
415.0,1843.92
416.0,3003.02
417.0,1159.73
418.0,1157.0
419.0,6113.200000000001
421.0,435.27
423.0,568.01
424.0,351.43
425.0,14304.99
426.0,494.46
427.0,974.66
428.0,1388.0
430.0,1891.14
431.0,215.56
432.0,167.54
433.0,691.25
434.0,2236.19
435.0,264.6
436.0,630.01
437.0,487.15
438.0,3051.08
439.0,4147.110000000001
440.0,1739.01
442.0,692.56
443.0,2969.72
445.0,1084.33
446.0,263.34000000000003
447.0,1446.23
448.0,1073.71
449.0,7679.84
450.0,1452.34
451.0,0.0
453.0,2380.65
454.0,5925.0
455.0,2630.0
456.0,1196.0
457.0,461.43
459.0,3047.2200000000003
460.0,4062.06
461.0,975.57
462.0,799.64
463.0,215.95
464.0,0.0
466.0,3759.0
467.0,22741.25
468.0,1377.2
469.0,3654.480000000001
470.0,13.24
471.0,485.05
472.0,643.1099999999999
473.0,256.85
474.0,8529.0
475.0,6182.120000000001
476.0,2709.84
478.0,461.79
480.0,789.5
481.0,5686.92
482.0,1571.22
484.0,1105.41
485.0,2659.0
486.0,174.0
487.0,601.47
488.0,519.19
489.0,418.0
491.0,5313.83
492.0,2318.96
493.0,1402.52
494.0,738.27
496.0,51.0
498.0,678.0
500.0,435.75
501.0,186.46
503.0,2052.74
504.0,1947.63
505.0,6111.04
506.0,1472.38
507.0,1629.75
508.0,637.44
509.0,1606.12
510.0,2730.75
511.0,1422.73
512.0,1452.11
513.0,869.12
514.0,4523.07
515.0,3239.38
516.0,1292.32
517.0,74.59
518.0,1653.97
519.0,402.33
520.0,787.67
521.0,205.7
522.0,1679.28
523.0,206.83
524.0,1445.86
525.0,1942.01
526.0,205.71
527.0,1744.2599999999998
528.0,1490.0
529.0,9114.08
530.0,5261.87
531.0,563.76
532.0,362.52
533.0,7626.969999999999
534.0,1490.35
535.0,680.61
537.0,3762.1
538.0,198.63
539.0,12211.5
540.0,72.41
542.0,0.6
543.0,390.78
544.0,2664.69
546.0,3722.69
548.0,5288.26
549.0,220.2
550.0,389.42
551.0,665.3499999999999
552.0,337.02
553.0,359.94
554.0,24895.26
555.0,866.3199999999999
556.0,413.88
557.0,153.62
558.0,1815.99
559.0,4149.2
561.0,261.55
562.0,526.24
563.0,1451.51
564.0,1808.18
565.0,576.98
566.0,871.69
567.0,672.04
568.0,2053.26
569.0,2057.13
570.0,1145.79
571.0,605.66
572.0,392.59
573.0,1627.16
574.0,1688.47
575.0,3970.72
576.0,958.79
577.0,894.83
579.0,496.5
580.0,623.96
581.0,2146.36
582.0,1142.74
584.0,2517.23
585.0,96.58
586.0,751.01
587.0,808.62
588.0,963.66
589.0,2276.54
590.0,1277.65
591.0,552.3000000000001
592.0,152.91
593.0,829.9599999999999
