Year;MunicipalityID;zoneid;ZoneName;ZoneDescription;CountryCode;Area;BNP;JOBS;Population;Area_km2;Density;CPH_FRDB;Main_cities;MainC_and_HighDensAreas;HighDensAreas;East_GB;East_GB_NoBorholm
2020;665;665020;Norre Nissum;Lemvig Kommune;DK;175079808;722620053.3;1280.185547;2927.290031;175.079808;16.71974664;0;0;0;0;0;0
2020;665;665030;Lemvig;Lemvig Kommune;DK;19574702;2232706424;3855.698486;7047.294507;19.574702;360.0205258;0;0;0;0;0;0
2020;665;665040;Ramme;Lemvig Kommune;DK;99257400;251510448.7;571.4116211;2378.826461;99.2574;23.96623789;0;0;0;0;0;0
2020;665;665050;Torring;Lemvig Kommune;DK;42795248;270715891.7;466.7078857;1028.782927;42.795248;24.03965335;0;0;0;0;0;0
2020;665;665060;Harboore;Lemvig Kommune;DK;26601880;191490087.2;454.3967285;1768.815837;26.60188;66.49213653;0;0;0;0;0;0
2020;665;665070;Thyboron;Lemvig Kommune;DK;16739056;1940445469;2036.87085;2092.476527;16.739056;125.0056471;0;0;0;0;0;0
2020;671;671110;Hjerm;Struer Kommune;DK;115438384;565023750.9;932.4696045;3884.036692;115.438384;33.64597249;0;0;0;0;0;0
2020;671;671120;Struer;Struer Kommune;DK;13582080;5006159193;6827.803223;12066.09015;13.58208;888.3830864;0;0;0;0;0;0
2020;671;671130;Humlum;Struer Kommune;DK;41907144;231815120.6;426.7716065;1907.601312;41.907144;45.51971645;0;0;0;0;0;0
2020;671;671200;Thyholm;Struer Kommune;DK;74975640;654691503.9;1104.354126;3201.251826;74.97564;42.69722574;0;0;0;0;0;0
2020;706;706110;Nimtofte;Syddjurs Kommune;DK;106610296;997631843.8;2079.767334;5268.497143;106.610296;49.41827704;0;0;0;0;0;0
2020;706;706120;Kolind;Syddjurs Kommune;DK;101142408;870524477.1;1516.055542;4384.561905;101.142408;43.35038083;0;0;0;0;0;0
2020;706;706130;Thorsager;Syddjurs Kommune;DK;41428140;228659474.1;380.6314697;1986;41.42814;47.93843026;0;0;0;0;0;0
2020;706;706140;Ronde;Syddjurs Kommune;DK;22292044;1401781162;1953.15564;4611.247619;22.292044;206.8562048;0;0;0;0;0;0
2020;706;706150;Morke;Syddjurs Kommune;DK;50420620;275278786.6;530.4819946;2692;50.42062;53.39085477;0;0;0;0;0;0
2020;706;706160;Hornslet;Syddjurs Kommune;DK;90468704;1637812326;2846.371094;8644.493333;90.468704;95.5523065;0;0;0;0;0;0
2020;706;706170;Aarhus Lufthavn;Aarhus Lufthavn;DK;7379576;287713976.2;319.5035706;0.2;7.379576;0.027101828;0;0;0;0;0;0
2020;706;706210;Fuglslev;gl Ebeltoft kommune (med udrettet grënse);DK;105801568;382382174.2;848.5948486;2422;105.801568;22.89191026;0;0;0;0;0;0
2020;706;706230;Ebeltoft halvo;gl Ebeltoft kommune (med udrettet grënse);DK;30278490;816944655.5;483.0154114;643;30.27849;21.23619771;0;0;0;0;0;0
2020;706;706240;Ebeltoft;gl Ebeltoft kommune (med udrettet grënse);DK;10992565;1666133607;2920.281738;6875;10.992565;625.4227289;0;0;0;0;0;0
2020;706;706250;Handrup;gl Ebeltoft kommune (med udrettet grënse);DK;62275944;473494665.5;801.8392944;3004;62.275944;48.23692436;0;0;0;0;0;0
2020;706;706260;Helgenës;gl Ebeltoft kommune (med udrettet grënse);DK;67645304;241261766.5;354.9215088;1784;67.645304;26.37285805;0;0;0;0;0;0
2020;707;707010;Anholt;Norddjurs Kommune;DK;21754062;31964024.05;57.97599792;195.2290861;21.754062;8.974373894;0;0;0;0;0;0
2020;707;707020;Grenaa ost;Norddjurs Kommune;DK;5719270;2536171523;3291.249756;6039.849033;5.71927;1056.052439;0;0;0;0;0;0
2020;707;707030;Grenaa nord;Norddjurs Kommune;DK;29186074;2155900185;3600.291992;7022.47325;29.186074;240.6104106;0;0;0;0;0;0
2020;707;707040;Grenaa syd;Norddjurs Kommune;DK;13243871;1259388195;1811.536377;2197.106806;13.243871;165.8961195;0;0;0;0;0;0
2020;707;707050;Trustrup;Norddjurs Kommune;DK;117899088;459547183.5;787.2922974;3352.760565;117.899088;28.43754453;0;0;0;0;0;0
2020;707;707060;Gjerrild;Norddjurs Kommune;DK;180768912;1075187790;2352.181152;6458.026969;180.768912;35.72531857;0;0;0;0;0;0
2020;707;707070;Fjellerup Strand;Norddjurs Kommune;DK;160226256;648116065.3;1130.620117;4026.664996;160.226256;25.13111831;0;0;0;0;0;0
2020;707;707080;AllingÜbro;Norddjurs Kommune;DK;80045200;1655379829;2760.229492;6176.712234;80.0452;77.16530453;0;0;0;0;0;0
2020;707;707090;Norddjurs;Norddjurs Kommune;DK;114198624;399730298.5;724.8063965;3328.127398;114.198624;29.14332311;0;0;0;0;0;0
2020;710;710010;Soften;Favrskov Kommune;DK;24411714;2557897436;3811.702881;7392.622642;24.411714;302.8309541;0;0;0;0;0;0
2020;710;710020;Hinnerup nordvest;Favrskov Kommune;DK;6548154;470605447.7;1137.327515;4042.716981;6.548154;617.3826976;0;0;0;0;0;0
2020;710;710030;Hadbjerg;Favrskov Kommune;DK;69137280;662588617.7;1304.79126;3665;69.13728;53.01047423;0;0;0;0;0;0
2020;710;710040;Hadsten;Favrskov Kommune;DK;14038187;2544271778;4232.65332;8249.698113;14.038187;587.661221;0;0;0;0;0;0
2020;710;710050;Vitten;Favrskov Kommune;DK;206662880;864200812.2;1886.544922;7973.716981;206.66288;38.58320846;0;0;0;0;0;0
2020;710;710060;Hammel;Favrskov Kommune;DK;94454992;3497098685;5146.767578;9992.528302;94.454992;105.7914261;0;0;0;0;0;0
2020;710;710070;Ulstrup;Favrskov Kommune;DK;124934608;1153776989;1905.903931;7184.716981;124.934608;57.50782026;0;0;0;0;0;0
2020;727;727010;Saksild;Odder Kommune;DK;52662208;682123789.1;1375.333008;4655;52.662208;88.39355919;0;0;0;0;0;0
2020;727;727020;Orting;Odder Kommune;DK;115145736;387200372.3;844.7038574;4538.936073;115.145736;39.41905476;0;0;0;0;0;0
2020;727;727030;Odder;Odder Kommune;DK;57175576;3546269950;5661.289063;13432.06393;57.175576;234.9266045;0;0;0;0;0;0
2020;730;730110;Assentoft;Randers Kommune syd for GudenÜ-NorreÜ;DK;85867128;1003010620;1695.778442;8615.868189;85.867128;100.3395407;0;0;0;0;0;0
2020;730;730120;Randers Syd;Randers Kommune syd for GudenÜ-NorreÜ;DK;17582798;5395862225;7387.583008;12634.20647;17.582798;718.5549461;0;0;0;0;0;0
2020;730;730130;Haslund;Randers Kommune syd for GudenÜ-NorreÜ;DK;64794896;4775664058;5181.437988;3628.432353;64.794896;55.9987372;0;0;0;0;0;0
2020;730;730140;Stevnstrup;Randers Kommune syd for GudenÜ-NorreÜ;DK;29275738;299579993.6;390.2473145;2800.712967;29.275738;95.66669052;0;0;0;0;0;0
2020;730;730150;Helstrup;Randers Kommune syd for GudenÜ-NorreÜ;DK;20186970;821210161.5;1176.531372;3321.963473;20.18697;164.5597865;0;0;0;0;0;0
2020;730;730210;FÜrup;Randers Kommune nord for GudenÜ-NorreÜ;DK;109636776;937313693.3;1460.418945;4520.132712;109.636776;41.22825275;0;0;0;0;0;0
2020;730;730220;Oster Bjerrregrav;Randers Kommune nord for GudenÜ-NorreÜ;DK;90961752;517930445.4;829.5245972;3399.407122;90.961752;37.37182989;0;0;0;0;0;0
2020;730;730310;Mellerup;Randers Kommune nord for GudenÜ-NorreÜ;DK;7650903;2863358225;4108.23584;6700.864768;7.650903;875.8266531;0;0;0;0;0;0
2020;730;730320;Randers centrum;Randers Kommune nord for GudenÜ-NorreÜ;DK;3223208;6377482253;9543.140625;13777.85773;3.223208;4274.579155;0;0;1;1;0;0
2020;730;730330;Randers nordost;Randers Kommune nord for GudenÜ-NorreÜ;DK;5854431;3566012165;5307.148926;9618.972015;5.854431;1643.024235;0;0;1;1;0;0
2020;730;730340;Randers nordvest;Randers Kommune nord for GudenÜ-NorreÜ;DK;6143431;699785833.4;1533.776367;12549.10917;6.143431;2042.687412;0;0;1;1;0;0
2020;730;730350;Randers vest;Randers Kommune nord for GudenÜ-NorreÜ;DK;6744635;808536757.4;1385.881714;4599.597372;6.744635;681.9638679;0;0;0;0;0;0
2020;730;730510;Havndal;Randers Kommune nord for GudenÜ-NorreÜ;DK;180241168;851107271.1;1696.626953;5803.75586;180.241168;32.19994591;0;0;0;0;0;0
2020;730;730520;Harridslev;Randers Kommune nord for GudenÜ-NorreÜ;DK;65578056;336074988.5;704.0725708;3490.040595;65.578056;53.21964096;0;0;0;0;0;0
2020;730;730530;Spentrup;Randers Kommune nord for GudenÜ-NorreÜ;DK;54220992;378152495.1;677.9456787;4873.008258;54.220992;89.87309303;0;0;0;0;0;0
2020;740;740110;Hojmark ost;Silkeborg by;DK;19369502;6911599994;8251.563477;6918.685428;19.369502;357.1948018;0;0;0;0;0;0
2020;740;740120;Alderslyst;Silkeborg by;DK;4182515;1254909736;2389.141357;9772.401085;4.182515;2336.48919;0;0;1;1;0;0
2020;740;740130;Silkeborg;Silkeborg;DK;17287994;7154516553;10797.50195;12154.65443;17.287994;703.0691028;0;0;0;0;0;0
2020;740;740140;Hojmark vest;Silkeborg by;DK;21039136;1247941821;2356.082764;11356.356;21.039136;539.772926;0;0;0;0;0;0
2020;740;740150;Funder;Silkeborg vest;DK;33289392;690879958.5;989.9449463;4773.515356;33.289392;143.394489;0;0;0;0;0;0
2020;740;740160;Virklund og Them;Silkeborg Kommune;DK;119920016;1790168003;2775.019043;8913.608989;119.920016;74.32961808;0;0;0;0;0;0
2020;740;740170;Bryrup og Hjollund;Silkeborg Kommune;DK;102456264;377287226.7;565.1495972;2859.1927;102.456264;27.90647041;0;0;0;0;0;0
2020;740;740210;Sejs;Silkeborg;DK;42065060;1252127757;1620.656128;6139.104057;42.06506;145.9430714;0;0;0;0;0;0
2020;740;740220;Resenbro og Gjern;Silkeborg Kommune;DK;83266400;1089568964;1735.93811;7688.679871;83.2664;92.33832459;0;0;0;0;0;0
2020;740;740230;Grauballe-FÜrvang;Silkeborg;DK;66757092;1821592911;1611.547852;3509.347939;66.757092;52.56891566;0;0;0;0;0;0
2020;740;740240;Ans;Silkeborg Kommune;DK;74637032;838278533.7;1272.267822;4008.120641;74.637032;53.7015009;0;0;0;0;0;0
2020;740;740250;Kragelund; Lemming mv;DK;92140896;499891502.7;972.826294;4181.631647;92.140896;45.3830148;0;0;0;0;0;0
2020;740;740260;Kjellerup;Silkeborg Kommune;DK;34865520;2036971706;4268.326172;6232.738344;34.86552;178.765105;0;0;0;0;0;0
2020;740;740270;Silkeborg Nord;Silkeborg Kommune;DK;146015696;665459232.9;1257.335083;4511.913961;146.015696;30.9001983;0;0;0;0;0;0
